NIP;TIT;CACA;TRABAJO_A;OBTIENE_BECA;ESTADO;CRE_MAT;CRE_SUP;CRE_SUS;CRE_NP;CRE_MAT_CN;CRE_SUP_CN;CRE_SUS_CN;CRE_NP_CN
504943;158;2012;;-;;25,5;25,5;0;0;25,5;25,5;0;0
504911;158;2012;;-;;25,5;19,5;6;0;25,5;19,5;6;0
504898;158;2012;;-;;28,5;19,5;0;9;28,5;19,5;0;9
504997;158;2012;;-;;15;0;9;6;15;0;9;6
505000;158;2012;;-;;15;15;0;0;15;15;0;0
504999;158;2012;;-;;27;22,5;0;4,5;27;22,5;0;4,5
504998;158;2012;;-;;27;16,5;6;4,5;27;16,5;6;4,5
504944;158;2012;;-;;25,5;9;16,5;0;25,5;9;16,5;0
505126;158;2012;;-;;27;16,5;0;10,5;27;16,5;0;10,5
505103;158;2012;;-;;37,5;33;4,5;0;37,5;33;4,5;0
505521;158;2012;;-;;22,5;22,5;0;0;22,5;22,5;0;0
505522;158;2012;;-;;28,5;28,5;0;0;28,5;28,5;0;0
505022;158;2012;;-;;18;4,5;9;4,5;18;4,5;9;4,5
484783;156;2012;0;S;;60;48;12;0;60;48;12;0
552716;158;2015;0;-;;60;24;36;0;60;24;36;0
552591;182;2015;0;S;;72;66;6;0;72;66;6;0
552285;156;2015;3;S;;60;60;0;0;60;60;0;0
554979;156;2015;3;S;;60;36;24;0;60;36;24;0
552710;158;2015;3;S;;60;60;0;0;60;60;0;0
458416;156;2015;3;N;;42;42;0;0;42;42;0;0
554934;156;2015;0;-;;61;1;42;18;61;1;42;18
554939;156;2015;0;S;;60;12;48;0;60;12;48;0
552363;156;2015;0;S;;60;54;6;0;60;54;6;0
552702;158;2015;2;S;;60;60;0;0;60;60;0;0
552410;156;2015;1;S;;61;13;48;0;61;13;48;0
516004;156;2015;2;S;;60;60;0;0;60;60;0;0
552356;156;2015;4;S;;60;60;0;0;60;60;0;0
552381;156;2015;1;-;;60;60;0;0;60;60;0;0
552263;156;2015;3;S;;60;54;6;0;60;54;6;0
552264;156;2015;2;N;;60;60;0;0;60;60;0;0
552764;158;2015;3;S;;60;6;48;6;60;6;48;6
552311;156;2015;3;S;;60;60;0;0;60;60;0;0
552722;158;2015;1;N;;60;30;30;0;60;30;30;0
552406;156;2015;0;S;;60;48;12;0;60;48;12;0
552444;156;2015;0;-;;54;6;30;18;54;6;30;18
552237;156;2015;3;N;;60;60;0;0;60;60;0;0
552639;158;2015;0;-;;60;54;6;0;60;54;6;0
554935;156;2015;0;N;;60;42;12;6;60;42;12;6
552251;156;2015;0;-;;54;54;0;0;54;54;0;0
552724;158;2015;0;S;;54;54;0;0;54;54;0;0
552275;156;2015;3;S;;48;48;0;0;48;48;0;0
552454;156;2015;0;S;;60;60;0;0;60;60;0;0
533813;156;2015;0;S;;60;48;12;0;60;48;12;0
552627;158;2015;0;S;;60;60;0;0;60;60;0;0
552520;156;2015;0;S;;60;60;0;0;60;60;0;0
552354;156;2015;0;N;;48;48;0;0;48;48;0;0
552214;156;2015;0;S;;60;60;0;0;60;60;0;0
552760;158;2015;4;S;;54;54;0;0;54;54;0;0
552790;158;2015;0;-;;60;54;6;0;60;54;6;0
554968;156;2015;3;N;;60;24;36;0;60;24;36;0
529354;182;2015;1;N;;72;18;54;0;72;18;54;0
552732;158;2015;0;S;;60;30;30;0;60;30;30;0
552372;156;2015;0;N;;60;60;0;0;60;60;0;0
552431;156;2015;0;-;;61;1;60;0;61;1;60;0
532901;156;2015;3;N;;46,5;46,5;0;0;46,5;46,5;0;0
552306;156;2015;0;-;;60;60;0;0;60;60;0;0
329882;156;2015;3;-;;55,5;55,5;0;0;55,5;55,5;0;0
552260;156;2015;4;S;;48;48;0;0;48;48;0;0
552745;158;2015;0;-;;60;60;0;0;60;60;0;0
552719;158;2015;0;S;;60;42;18;0;60;42;18;0
552521;156;2015;0;S;;60;60;0;0;60;60;0;0
552524;156;2015;1;S;;60;60;0;0;60;60;0;0
552571;182;2015;4;S;;54;54;0;0;54;54;0;0
552211;156;2015;0;-;;60;60;0;0;60;60;0;0
552428;156;2015;4;N;;60;60;0;0;60;60;0;0
552822;158;2015;2;S;;60;60;0;0;60;60;0;0
552655;158;2015;0;S;;60;60;0;0;60;60;0;0
552341;156;2015;3;N;;48;48;0;0;48;48;0;0
552480;156;2015;0;-;B;30;0;18;12;30;0;18;12
554921;156;2015;0;-;;60;42;18;0;60;42;18;0
554972;156;2015;0;S;;60;6;54;0;60;6;54;0
552362;156;2015;4;N;;60;60;0;0;60;60;0;0
552718;158;2015;0;S;;60;60;0;0;60;60;0;0
552606;158;2015;1;N;;60;42;18;0;60;42;18;0
552770;158;2015;0;-;B;24;6;18;0;24;6;18;0
552434;156;2015;0;-;;60;60;0;0;60;60;0;0
552741;158;2015;0;-;;60;60;0;0;60;60;0;0
552808;158;2015;0;S;;60;30;24;6;60;30;24;6
552715;158;2015;0;S;;60;18;42;0;60;18;42;0
552426;156;2015;0;S;;60;60;0;0;60;60;0;0
552738;158;2015;0;-;;60;54;6;0;60;54;6;0
552739;158;2015;3;-;;60;12;36;12;60;12;36;12
529260;156;2015;0;N;;48;18;12;18;48;18;12;18
552581;182;2015;0;S;;72;72;0;0;72;72;0;0
552768;158;2015;0;S;;60;48;12;0;60;48;12;0
494494;156;2015;0;N;;60;60;0;0;60;60;0;0
497416;156;2015;0;-;;30;30;0;0;30;30;0;0
552694;158;2015;0;-;;60;60;0;0;60;60;0;0
552252;156;2015;0;-;;60;12;48;0;60;12;48;0
552287;156;2015;0;N;;60;60;0;0;60;60;0;0
552401;156;2015;0;S;;60;60;0;0;60;60;0;0
552274;156;2015;1;S;;60;54;6;0;60;54;6;0
515535;156;2015;0;S;;60;60;0;0;60;60;0;0
497254;156;2015;3;N;;42;42;0;0;42;42;0;0
477227;156;2015;3;S;;55,5;55,5;0;0;55,5;55,5;0;0
497274;156;2015;0;-;;48;48;0;0;48;48;0;0
552453;156;2015;0;N;;60;60;0;0;60;60;0;0
555006;158;2015;0;S;;60;42;18;0;60;42;18;0
552339;156;2015;0;S;;42;0;18;24;42;0;18;24
552394;156;2015;0;-;;60;6;54;0;60;6;54;0
528787;156;2015;3;S;;60,5;60,5;0;0;60,5;60,5;0;0
552282;156;2015;4;-;;48;48;0;0;48;48;0;0
552502;156;2015;0;-;;60;60;0;0;60;60;0;0
552596;182;2015;0;S;;72;72;0;0;72;72;0;0
554996;158;2015;0;-;B;12;0;0;12;12;0;0;12
532622;158;2015;0;S;;60;54;6;0;60;54;6;0
530081;158;2015;0;-;;60;60;0;0;60;60;0;0
552473;156;2015;0;S;;60;24;36;0;60;24;36;0
552223;156;2015;3;S;;60;60;0;0;60;60;0;0
552400;156;2015;3;-;;60;30;30;0;60;30;30;0
552755;158;2015;3;S;;54;54;0;0;54;54;0;0
552474;156;2015;0;-;;60;42;18;0;60;42;18;0
552603;182;2015;0;S;;72;18;54;0;72;18;54;0
552798;158;2015;0;-;;60;18;36;6;60;18;36;6
528940;156;2015;3;S;;61;61;0;0;61;61;0;0
529030;156;2015;3;-;;61;61;0;0;61;61;0;0
529766;158;2015;0;-;;60;60;0;0;60;60;0;0
552330;156;2015;3;S;;46,5;46,5;0;0;46,5;46,5;0;0
447763;156;2015;1;-;;34,5;34,5;0;0;34,5;34,5;0;0
496733;158;2015;1;S;;60;60;0;0;60;60;0;0
515497;156;2015;3;S;;60;60;0;0;60;60;0;0
515015;158;2015;1;N;;60;54;6;0;60;54;6;0
312072;156;2015;4;-;;39;0;6;33;39;0;6;33
550286;156;2015;3;S;;45;45;0;0;45;45;0;0
496701;158;2015;1;S;;46,5;46,5;0;0;46,5;46,5;0;0
497284;156;2015;0;S;;60;60;0;0;60;60;0;0
534057;156;2015;1;-;;60;36;24;0;60;36;24;0
496798;158;2015;0;-;;46,5;46,5;0;0;46,5;46,5;0;0
552314;156;2015;4;S;;60;60;0;0;60;60;0;0
552385;156;2015;2;N;;60;60;0;0;60;60;0;0
552671;158;2015;0;S;;60;42;18;0;60;42;18;0
554941;156;2015;3;S;;60;60;0;0;60;60;0;0
556165;182;2015;0;-;;72;12;54;6;72;12;54;6
552774;158;2015;1;S;;60;60;0;0;60;60;0;0
552500;156;2015;0;S;;60;54;6;0;60;54;6;0
552629;158;2015;0;-;;60;60;0;0;60;60;0;0
552318;156;2015;0;S;;60;60;0;0;60;60;0;0
529751;158;2015;2;-;;54;54;0;0;54;54;0;0
552245;156;2015;1;S;;60;48;12;0;60;48;12;0
529768;158;2015;1;-;;60;60;0;0;60;60;0;0
552227;156;2015;4;N;;60;60;0;0;60;60;0;0
552432;156;2015;0;N;;60;54;6;0;60;54;6;0
554924;156;2015;0;N;;60;60;0;0;60;60;0;0
552423;156;2015;0;-;;60;54;6;0;60;54;6;0
552336;156;2015;0;-;;60;36;24;0;60;36;24;0
552608;158;2015;0;S;;54;12;36;6;54;12;36;6
552704;158;2015;4;S;;30;30;0;0;30;30;0;0
552243;156;2015;0;S;;54;54;0;0;54;54;0;0
554975;156;2015;0;-;;60;24;30;6;60;24;30;6
497184;156;2015;0;S;;30;30;0;0;30;30;0;0
554965;156;2015;1;S;;60;36;24;0;60;36;24;0
496802;158;2015;0;-;;46,5;46,5;0;0;46,5;46,5;0;0
542770;156;2015;0;N;;60;60;0;0;60;60;0;0
552456;156;2015;0;S;;60;60;0;0;60;60;0;0
310922;156;2015;0;N;;54;54;0;0;54;54;0;0
552475;156;2015;1;-;;61;7;54;0;61;7;54;0
528993;156;2015;4;S;;60;60;0;0;60;60;0;0
552814;158;2015;3;S;;60;60;0;0;60;60;0;0
552309;156;2015;1;S;;48;48;0;0;48;48;0;0
552626;158;2015;0;S;;54;54;0;0;54;54;0;0
552222;156;2015;4;S;;54;54;0;0;54;54;0;0
552425;156;2015;3;S;;60;30;30;0;60;30;30;0
62730;158;2015;0;-;;54;18;6;30;54;18;6;30
552820;158;2015;0;-;;54;54;0;0;54;54;0;0
496732;158;2015;4;S;;52,5;52,5;0;0;52,5;52,5;0;0
552733;158;2015;0;N;;60;60;0;0;60;60;0;0
552277;156;2015;0;S;;54;0;30;24;54;0;30;24
552522;156;2015;3;S;;60;42;18;0;60;42;18;0
552726;158;2015;0;-;;54;54;0;0;54;54;0;0
175259;156;2015;4;-;;12;12;0;0;12;12;0;0
529687;158;2015;4;N;;60;60;0;0;60;60;0;0
496678;158;2015;0;N;;39;39;0;0;39;39;0;0
552459;156;2015;0;S;;60;42;18;0;60;42;18;0
554964;156;2015;1;-;B;30;0;30;0;30;0;30;0
554953;156;2015;0;S;;60;24;36;0;60;24;36;0
529782;158;2015;0;-;;60;60;0;0;60;60;0;0
552708;158;2015;0;-;;60;36;18;6;60;36;18;6
496663;158;2015;0;-;;51;51;0;0;51;51;0;0
439495;156;2015;3;N;;12;12;0;0;12;12;0;0
552420;156;2015;0;S;;42;0;30;12;42;0;30;12
515016;158;2015;0;N;;28,5;28,5;0;0;28,5;28,5;0;0
515422;156;2015;0;-;;62,66;62,66;0;0;62,66;62,66;0;0
529713;158;2015;0;N;;60;60;0;0;60;60;0;0
552496;156;2015;3;-;;60;60;0;0;60;60;0;0
552514;156;2015;1;-;;54;54;0;0;54;54;0;0
497367;156;2015;1;-;;30;30;0;0;30;30;0;0
515588;156;2015;4;N;;60;60;0;0;60;60;0;0
497365;156;2015;0;-;;50,5;50,5;0;0;50,5;50,5;0;0
273938;156;2015;4;-;;12;12;0;0;12;12;0;0
552779;158;2015;0;N;;24;6;12;6;24;6;12;6
515587;156;2015;4;S;;55,5;55,5;0;0;55,5;55,5;0;0
552355;156;2015;4;S;;48;48;0;0;48;48;0;0
552248;156;2015;1;S;;60;48;12;0;60;48;12;0
552279;156;2015;1;S;;60;36;24;0;60;36;24;0
529013;156;2015;0;-;;61;61;0;0;61;61;0;0
497346;156;2015;1;S;;12;12;0;0;12;12;0;0
478655;158;2015;0;N;;7,5;7,5;0;0;7,5;7,5;0;0
512229;158;2015;0;S;;60;60;0;0;60;60;0;0
497287;156;2015;1;N;;12;12;0;0;12;12;0;0
515362;156;2015;0;S;;60;60;0;0;60;60;0;0
528927;156;2015;0;-;;61;61;0;0;61;61;0;0
454037;158;2015;1;-;;60;48;12;0;60;48;12;0
515481;156;2015;0;N;;60;60;0;0;60;60;0;0
515089;158;2015;0;N;;60;49,5;10,5;0;60;49,5;10,5;0
515060;158;2015;3;-;;30;30;0;0;30;30;0;0
514948;158;2015;3;-;;60;60;0;0;60;60;0;0
554997;158;2015;0;N;;60;12;42;6;60;12;42;6
496749;158;2015;0;S;;46,5;46,5;0;0;46,5;46,5;0;0
497201;156;2015;4;S;;60;60;0;0;60;60;0;0
552304;156;2015;4;S;;60;60;0;0;60;60;0;0
552357;156;2015;0;-;;54;54;0;0;54;54;0;0
515040;158;2015;1;-;;4,5;4,5;0;0;4,5;4,5;0;0
514992;158;2015;4;S;;60;54;6;0;60;54;6;0
515081;158;2015;0;S;;60;60;0;0;60;60;0;0
498099;158;2015;4;S;;60;60;0;0;60;60;0;0
515429;156;2015;0;-;;60;60;0;0;60;60;0;0
501975;156;2015;4;S;;60;60;0;0;60;60;0;0
498366;158;2015;0;-;;60;60;0;0;60;60;0;0
478955;156;2015;0;-;;48;48;0;0;48;48;0;0
497258;156;2015;0;S;;42;42;0;0;42;42;0;0
478492;158;2015;0;-;;60;60;0;0;60;60;0;0
512350;156;2015;0;S;;61;61;0;0;61;61;0;0
458701;158;2015;0;S;;45;45;0;0;45;45;0;0
514922;158;2015;3;S;;64,5;52,5;12;0;64,5;52,5;12;0
12428;156;2015;3;-;;16,5;16,5;0;0;16,5;16,5;0;0
552778;158;2015;0;-;;54;12;24;18;54;12;24;18
552225;156;2015;4;-;;60;60;0;0;60;60;0;0
514934;158;2015;2;-;;60;60;0;0;60;60;0;0
293625;156;2015;0;-;;12;12;0;0;12;12;0;0
497155;156;2015;0;S;;60;60;0;0;60;60;0;0
552484;156;2015;4;-;;54;54;0;0;54;54;0;0
529023;156;2015;0;S;;61;61;0;0;61;61;0;0
478681;158;2015;0;-;;7,5;7,5;0;0;7,5;7,5;0;0
528953;156;2015;0;S;;61;61;0;0;61;61;0;0
528846;156;2015;4;S;;62,5;62,5;0;0;62,5;62,5;0;0
552412;156;2015;1;S;;61;7;48;6;61;7;48;6
515839;156;2015;4;S;;60;60;0;0;60;60;0;0
528885;156;2015;4;-;;56,5;52;4,5;0;56,5;52;4,5;0
499179;156;2015;4;S;;36;36;0;0;36;36;0;0
554989;158;2015;4;S;;61,5;49,5;12;0;61,5;49,5;12;0
554987;158;2015;0;-;;60;6;42;12;60;6;42;12
552380;156;2015;0;S;;61;13;48;0;61;13;48;0
529600;158;2015;3;-;;60;48;12;0;60;48;12;0
480358;156;2015;4;S;;25,5;25,5;0;0;25,5;25,5;0;0
528996;156;2015;4;-;;61;61;0;0;61;61;0;0
552527;156;2015;1;S;;54;12;36;6;54;12;36;6
552448;156;2015;0;S;;60;0;42;18;60;0;42;18
528738;156;2015;3;S;;61;61;0;0;61;61;0;0
496722;158;2015;1;-;;9;9;0;0;9;9;0;0
552240;156;2015;2;-;;60;30;30;0;60;30;30;0
552284;156;2015;0;S;;60;30;30;0;60;30;30;0
552693;158;2015;0;S;;60;60;0;0;60;60;0;0
479208;156;2015;0;-;;22,5;22,5;0;0;22,5;22,5;0;0
489344;156;2015;0;-;;60;60;0;0;60;60;0;0
552792;158;2015;4;-;;60;60;0;0;60;60;0;0
552711;158;2015;4;S;;48;48;0;0;48;48;0;0
528877;156;2015;4;-;;61;61;0;0;61;61;0;0
477942;156;2015;3;-;;60;60;0;0;60;60;0;0
497393;156;2015;0;S;;60;60;0;0;60;60;0;0
528967;156;2015;4;S;;61;61;0;0;61;61;0;0
552235;156;2015;0;-;;60;60;0;0;60;60;0;0
552597;182;2015;0;S;;72;66;0;6;72;66;0;6
496822;158;2015;4;-;;19,5;19,5;0;0;19,5;19,5;0;0
512363;156;2015;1;S;;60;60;0;0;60;60;0;0
452675;156;2015;4;S;;36;36;0;0;36;36;0;0
515610;156;2015;0;N;;46,5;27;19,5;0;46,5;27;19,5;0
528836;156;2015;4;S;;60,5;60,5;0;0;60,5;60,5;0;0
515651;156;2015;0;S;;62,5;62,5;0;0;62,5;62,5;0;0
497280;156;2015;0;-;;60;60;0;0;60;60;0;0
497354;156;2015;2;S;;64,5;64,5;0;0;64,5;64,5;0;0
515372;156;2015;0;S;;60;60;0;0;60;60;0;0
499141;158;2015;4;S;;72;61,5;10,5;0;72;61,5;10,5;0
497302;156;2015;4;-;;61,5;61,5;0;0;61,5;61,5;0;0
497394;156;2015;0;-;;46,5;46,5;0;0;46,5;46,5;0;0
478658;158;2015;0;-;;7,5;7,5;0;0;7,5;7,5;0;0
552507;156;2015;0;S;;60;36;24;0;60;36;24;0
552297;156;2015;0;S;;54;54;0;0;54;54;0;0
552468;156;2015;0;S;;60;0;54;6;60;0;54;6
497448;156;2015;0;S;;60;60;0;0;60;60;0;0
510702;156;2015;2;S;;64,5;60;0;4,5;64,5;60;0;4,5
552247;156;2015;1;S;;60;60;0;0;60;60;0;0
501775;156;2015;0;S;;60;60;0;0;60;60;0;0
496170;156;2015;0;S;;54;43,5;10,5;0;54;43,5;10,5;0
448416;156;2015;1;N;;33;33;0;0;33;33;0;0
478514;158;2015;3;-;;25,5;25,5;0;0;25,5;25,5;0;0
496684;158;2015;0;N;;39;39;0;0;39;39;0;0
533109;156;2015;3;S;;60;60;0;0;60;60;0;0
552526;156;2015;0;S;;60;36;24;0;60;36;24;0
444711;158;2015;0;-;;57;27;24;6;57;27;24;6
501882;158;2015;4;S;;24,66;20,16;0;4,5;24,66;20,16;0;4,5
479258;156;2015;0;S;;10,5;10,5;0;0;10,5;10,5;0;0
516646;156;2015;0;S;;49,5;49,5;0;0;49,5;49,5;0;0
556199;158;2015;3;-;;60;30;30;0;60;30;30;0
556190;158;2015;2;S;;60;60;0;0;60;60;0;0
552196;156;2015;4;-;;60;42;18;0;60;42;18;0
528776;156;2015;0;S;;61;61;0;0;61;61;0;0
515358;156;2015;0;-;;60;60;0;0;60;60;0;0
528891;156;2015;0;S;;61;55;6;0;61;55;6;0
556200;158;2015;0;S;;60;24;36;0;60;24;36;0
552244;156;2015;0;-;;54;18;36;0;54;18;36;0
552208;156;2015;1;S;;60;42;18;0;60;42;18;0
528922;156;2015;3;N;;60;60;0;0;60;60;0;0
515479;156;2015;1;S;;60;60;0;0;60;60;0;0
528893;156;2015;4;S;;61;61;0;0;61;61;0;0
477216;156;2015;0;-;;49,5;33;6;10,5;49,5;33;6;10,5
515460;156;2015;0;N;;54;54;0;0;54;54;0;0
552258;156;2015;0;N;;60;60;0;0;60;60;0;0
528989;156;2015;0;S;;61;61;0;0;61;61;0;0
552331;156;2015;0;N;;60;60;0;0;60;60;0;0
528848;156;2015;0;N;;61;61;0;0;61;61;0;0
554923;156;2015;2;N;;60;48;12;0;60;48;12;0
528904;156;2015;3;S;;61;55;6;0;61;55;6;0
528773;156;2015;4;-;;62;62;0;0;62;62;0;0
460393;158;2015;0;-;;7,5;7,5;0;0;7,5;7,5;0;0
554936;156;2015;1;S;;60;48;12;0;60;48;12;0
497297;156;2015;0;N;;34,5;34,5;0;0;34,5;34,5;0;0
552486;156;2015;3;N;;60;60;0;0;60;60;0;0
552510;156;2015;0;S;;60;60;0;0;60;60;0;0
477491;156;2015;4;S;;48;34,5;9;4,5;48;34,5;9;4,5
552525;156;2015;3;S;;54;42;12;0;54;42;12;0
479001;156;2012;0;S;;48;37,5;10,5;0;48;37,5;10,5;0
414734;156;2012;0;-;;58,5;45;9;4,5;58,5;45;9;4,5
461111;156;2013;0;S;;10,5;10,5;0;0;10,5;10,5;0;0
207581;156;2013;4;-;;34,5;21;9;4,5;34,5;21;9;4,5
38816;156;2013;4;-;;34,5;34,5;0;0;34,5;34,5;0;0
238817;156;2013;4;-;;60;60;0;0;60;60;0;0
257957;156;2013;4;N;;15;0;10,5;4,5;15;0;10,5;4,5
274494;156;2013;4;N;;48;48;0;0;48;48;0;0
505588;156;2013;4;-;;42;42;0;0;42;42;0;0
354668;156;2013;1;S;;48;21;4,5;22,5;48;21;4,5;22,5
14894;156;2013;4;-;;34,5;34,5;0;0;34,5;34,5;0;0
39073;156;2013;4;-;;33;33;0;0;33;33;0;0
515400;156;2013;0;S;;60;60;0;0;60;60;0;0
461042;156;2012;0;N;;45;10,5;34,5;0;45;10,5;34,5;0
439530;156;2012;3;-;;54;18;36;0;54;18;36;0
479153;156;2012;0;-;;52,5;30;13,5;9;52,5;30;13,5;9
439452;156;2013;0;S;;54;54;0;0;54;54;0;0
460999;156;2013;0;-;;60;60;0;0;60;60;0;0
461035;156;2013;0;-;;30,25;30,25;0;0;30,25;30,25;0;0
478986;156;2013;0;N;;49,5;49,5;0;0;49,5;49,5;0;0
496834;158;2013;4;N;;60;48;12;0;60;48;12;0
498493;156;2012;0;S;;42;0;36;6;42;0;36;6
241480;156;2012;4;-;;21;21;0;0;21;21;0;0
507277;156;2013;;-;;22,5;6;6;10,5;22,5;6;6;10,5
507066;156;2013;;-;;70,5;54;4,5;12;70,5;54;4,5;12
507207;156;2013;;-;;27;16,5;10,5;0;27;16,5;10,5;0
507646;158;2013;;-;;33;18;10,5;4,5;33;18;10,5;4,5
507639;158;2013;;-;;21;21;0;0;21;21;0;0
507660;158;2013;;-;;39;22,5;0;16,5;39;22,5;0;16,5
515367;156;2013;0;S;;60;60;0;0;60;60;0;0
515537;156;2013;4;-;;48;30;18;0;48;30;18;0
368682;156;2013;0;-;;57,25;57,25;0;0;57,25;57,25;0;0
478515;158;2013;0;-;;60;60;0;0;60;60;0;0
498483;156;2013;4;S;;60;60;0;0;60;60;0;0
501868;156;2013;4;N;;54;36;18;0;54;36;18;0
515464;156;2013;0;N;B;30;6;12;12;30;6;12;12
515635;156;2013;4;S;;60;60;0;0;60;60;0;0
508256;158;2013;;-;;58,5;52,5;6;0;58,5;52,5;6;0
515462;156;2013;0;N;;60;60;0;0;60;60;0;0
494425;156;2013;0;-;;54;24;24;6;54;24;24;6
501799;156;2013;3;N;;60;30;30;0;60;30;30;0
497280;156;2013;0;N;;60;60;0;0;60;60;0;0
461070;156;2013;3;S;;58,5;48;10,5;0;58,5;48;10,5;0
464623;158;2012;0;-;;60;60;0;0;60;60;0;0
515547;156;2013;0;-;;60;6;48;6;60;6;48;6
496650;158;2013;0;-;;46,5;40,5;6;0;46,5;40,5;6;0
479039;156;2013;1;-;;46,5;34,5;12;0;46,5;34,5;12;0
515596;156;2013;1;N;;60;48;12;0;60;48;12;0
515611;156;2013;2;S;;60;60;0;0;60;60;0;0
439455;156;2013;0;-;;76,5;76,5;0;0;76,5;76,5;0;0
439565;156;2013;3;-;;21;15;6;0;21;15;6;0
484783;156;2013;0;N;;61,5;45;16,5;0;61,5;45;16,5;0
335855;156;2013;4;-;;25,5;25,5;0;0;25,5;25,5;0;0
479028;156;2013;0;-;;39,5;39,5;0;0;39,5;39,5;0;0
479104;156;2012;1;-;;60;60;0;0;60;60;0;0
478570;158;2012;0;N;;60,4;60,4;0;0;60,4;60,4;0;0
479044;156;2012;0;S;;54;54;0;0;54;54;0;0
461031;156;2013;0;N;;63;63;0;0;63;63;0;0
461062;156;2013;2;-;;21;15;6;0;21;15;6;0
470382;156;2013;4;S;;34,5;19,5;15;0;34,5;19,5;15;0
415469;156;2013;1;-;;61,5;40,5;16,5;4,5;61,5;40,5;16,5;4,5
461057;156;2013;4;S;;63;39;19,5;4,5;63;39;19,5;4,5
447803;156;2013;0;N;;42;36;6;0;42;36;6;0
496753;158;2013;0;-;;42;42;0;0;42;42;0;0
439694;156;2010;0;N;;36;36;0;0;36;36;0;0
515449;156;2013;0;N;;60;30;30;0;60;30;30;0
515587;156;2013;4;S;;54;54;0;0;54;54;0;0
515419;156;2013;0;-;;54;18;36;0;54;18;36;0
496974;156;2013;4;-;;54;12;42;0;54;12;42;0
498468;156;2012;0;N;B;30;0;18;12;30;0;18;12
496795;158;2013;0;N;;51;33;18;0;51;33;18;0
439605;156;2013;2;S;;31,5;31,5;0;0;31,5;31,5;0;0
439522;156;2013;3;-;;51;39;12;0;51;39;12;0
507210;156;2013;;-;;22,5;16,5;0;6;22,5;16,5;0;6
254833;156;2013;4;-;;30;30;0;0;30;30;0;0
207616;156;2013;4;-;;30;24;6;0;30;24;6;0
24771;156;2013;1;-;;10,5;0;10,5;0;10,5;0;10,5;0
499833;156;2013;4;-;;33;27;6;0;33;27;6;0
420481;156;2013;0;-;;60;39;21;0;60;39;21;0
7380;156;2013;3;-;;27;21;6;0;27;21;6;0
496691;158;2013;0;-;;46,5;46,5;0;0;46,5;46,5;0;0
496716;158;2013;1;-;;45;45;0;0;45;45;0;0
448416;156;2013;1;N;;57;45;12;0;57;45;12;0
505715;158;2012;;-;;15;10,5;0;4,5;15;10,5;0;4,5
515533;156;2013;3;S;;60;42;18;0;60;42;18;0
515013;158;2013;1;-;;60;36;24;0;60;36;24;0
515357;156;2013;0;S;;42;0;30;12;42;0;30;12
515618;156;2013;0;S;;60;42;18;0;60;42;18;0
497270;156;2013;3;-;;60;60;0;0;60;60;0;0
311667;156;2013;2;-;;64,5;64,5;0;0;64,5;64,5;0;0
497346;156;2013;1;S;;60;60;0;0;60;60;0;0
507658;158;2013;;-;;39;27;0;12;39;27;0;12
507653;158;2013;;-;;21;10,5;10,5;0;21;10,5;10,5;0
516401;156;2013;4;-;;60;60;0;0;60;60;0;0
515468;156;2013;0;S;;60;30;24;6;60;30;24;6
515484;156;2013;0;S;;60;0;54;6;60;0;54;6
514905;158;2013;0;-;;60;24;30;6;60;24;30;6
460476;158;2012;3;-;;60;60;0;0;60;60;0;0
460809;156;2012;0;N;;60;60;0;0;60;60;0;0
441024;158;2012;0;-;;60,8;60,8;0;0;60,8;60,8;0;0
478452;158;2012;0;N;;60;60;0;0;60;60;0;0
439584;156;2012;3;S;;60;60;0;0;60;60;0;0
461036;156;2013;0;S;;60;60;0;0;60;60;0;0
479162;156;2013;3;-;;60;40,5;19,5;0;60;40,5;19,5;0
496805;158;2013;0;S;;60;60;0;0;60;60;0;0
331166;156;2013;4;S;;46,5;33;13,5;0;46,5;33;13,5;0
460848;156;2013;1;-;;48;10,5;28,5;9;48;10,5;28,5;9
460954;156;2013;3;-;;21;0;21;0;21;0;21;0
461053;156;2013;0;N;;45;33;12;0;45;33;12;0
461084;156;2013;0;-;;43,5;37,5;6;0;43,5;37,5;6;0
497392;156;2013;0;S;;60;60;0;0;60;60;0;0
326884;158;2013;4;-;;60;33;0;27;60;33;0;27
439441;156;2013;1;-;;45;19,5;25,5;0;45;19,5;25,5;0
439469;156;2013;1;S;;40,5;40,5;0;0;40,5;40,5;0;0
498479;156;2013;1;S;;61,5;55,5;6;0;61,5;55,5;6;0
497274;156;2013;0;-;;60;60;0;0;60;60;0;0
459637;156;2013;0;N;;60;60;0;0;60;60;0;0
312157;156;2013;4;S;;60;54;6;0;60;54;6;0
379053;156;2012;4;-;;43,5;25,5;12;6;43,5;25,5;12;6
479225;156;2012;0;N;;42;37,5;0;4,5;42;37,5;0;4,5
461040;156;2013;0;S;;46,5;46,5;0;0;46,5;46,5;0;0
497298;156;2013;1;S;;60;60;0;0;60;60;0;0
479045;156;2013;0;-;;60,25;60,25;0;0;60,25;60,25;0;0
449118;158;2013;0;S;;63;24;33;6;63;24;33;6
478496;158;2013;0;N;;60;60;0;0;60;60;0;0
496800;158;2013;4;S;;30,66;30,66;0;0;30,66;30,66;0;0
496774;158;2013;0;N;;36;12;24;0;36;12;24;0
480858;156;2013;4;-;;40,5;30;10,5;0;40,5;30;10,5;0
497271;156;2013;0;-;;40,5;24;16,5;0;40,5;24;16,5;0
